parentKey;childKey;relationType;metaX
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_ORDRES;contains;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_FACTURATION;contains;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_REMONTEE_STOCK;contains;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_SAISIE_RESERVATIONS;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_CALCUL_QUANTITES;is before;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_CALCUL_QUANTITES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_VALIDATION_QUANTITES;is before;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_VALIDATION_QUANTITES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_DIFFERE;is before;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_VALIDATION_QUANTITES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_IMMEDIAT;is before;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_DIFFERE;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_ORDRES;is before;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_IMMEDIAT;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_ORDRES;is before;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_ORDRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_PROCESSUS_APPROVISIONNEMENT;calls;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_PROCESSUS_APPROVISIONNEMENT;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_ORDRES;is before;
ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_FACTURATION;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_PROCESSUS_APPROVISIONNEMENT;is before;
ROLE:APPROVISIONNEUR;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_SAISIE_RESERVATIONS;performs;
ROLE:APPROVISIONNEUR;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_VALIDATION_QUANTITES;performs;
